property_type,listing_type,price,area_sqft,bhk,bedrooms,floor,total_floors,property_age_years,furnishing,parking,city,amenities,title,description
apartment,rent,22000.0,1388,2,2,4,18,15,furnished,2,Yelahanka,swimming pool|lift|security|power backup,2 BHK Apartment for Rent in Yelahanka,"Beautiful 2 BHK apartment for rent in Yelahanka, Bangalore. Area: 1388 sqft. Furnished. Floor 4/18. Age: 15 yrs. Amenities: swimming pool, lift, security, power backup."
apartment,sale,5919000.0,1192,1,1,7,18,17,unfurnished,2,Electronic City,swimming pool|security|parking|lift,1 BHK Apartment for Sale in Electronic City,"Beautiful 1 BHK apartment for sale in Electronic City, Bangalore. Area: 1192 sqft. Unfurnished. Floor 7/18. Age: 17 yrs. Amenities: swimming pool, security, parking, lift."
apartment,rent,30000.0,1959,2,2,11,13,19,semi-furnished,2,Hennur,parking,2 BHK Apartment for Rent in Hennur,"Beautiful 2 BHK apartment for rent in Hennur, Bangalore. Area: 1959 sqft. Semi-Furnished. Floor 11/13. Age: 19 yrs. Amenities: parking."
house,sale,4776000.0,471,2,2,4,5,17,semi-furnished,2,Koramangala,parking|lift|clubhouse,2 BHK House for Sale in Koramangala,"Beautiful 2 BHK house for sale in Koramangala, Bangalore. Area: 471 sqft. Semi-Furnished. Floor 4/5. Age: 17 yrs. Amenities: parking, lift, clubhouse."
apartment,sale,14111000.0,2095,4,4,14,19,21,furnished,1,Vijayanagar,clubhouse|parking,4 BHK Apartment for Sale in Vijayanagar,"Beautiful 4 BHK apartment for sale in Vijayanagar, Bangalore. Area: 2095 sqft. Furnished. Floor 14/19. Age: 21 yrs. Amenities: clubhouse, parking."
apartment,sale,17966000.0,3318,1,1,9,18,17,unfurnished,1,Bellandur,swimming pool|lift,1 BHK Apartment for Sale in Bellandur,"Beautiful 1 BHK apartment for sale in Bellandur, Bangalore. Area: 3318 sqft. Unfurnished. Floor 9/18. Age: 17 yrs. Amenities: swimming pool, lift."
villa,sale,7865000.0,1115,2,2,7,14,17,semi-furnished,1,Electronic City,gym|clubhouse|swimming pool,2 BHK Villa for Sale in Electronic City,"Beautiful 2 BHK villa for sale in Electronic City, Bangalore. Area: 1115 sqft. Semi-Furnished. Floor 7/14. Age: 17 yrs. Amenities: gym, clubhouse, swimming pool."
apartment,sale,40618000.0,3425,2,2,5,16,22,furnished,0,Indiranagar,power backup|clubhouse|garden|gym|security,2 BHK Apartment for Sale in Indiranagar,"Beautiful 2 BHK apartment for sale in Indiranagar, Bangalore. Area: 3425 sqft. Furnished. Floor 5/16. Age: 22 yrs. Amenities: power backup, clubhouse, garden, gym, security."
apartment,sale,7553000.0,948,3,3,7,15,2,semi-furnished,2,Vijayanagar,security|swimming pool|power backup,3 BHK Apartment for Sale in Vijayanagar,"Beautiful 3 BHK apartment for sale in Vijayanagar, Bangalore. Area: 948 sqft. Semi-Furnished. Floor 7/15. Age: 2 yrs. Amenities: security, swimming pool, power backup."
villa,rent,28000.0,1355,3,3,7,8,16,unfurnished,0,Hennur,gym|power backup|parking|clubhouse,3 BHK Villa for Rent in Hennur,"Beautiful 3 BHK villa for rent in Hennur, Bangalore. Area: 1355 sqft. Unfurnished. Floor 7/8. Age: 16 yrs. Amenities: gym, power backup, parking, clubhouse."
apartment,sale,18671000.0,1691,4,4,2,14,17,furnished,2,Jayanagar,gym,4 BHK Apartment for Sale in Jayanagar,"Beautiful 4 BHK apartment for sale in Jayanagar, Bangalore. Area: 1691 sqft. Furnished. Floor 2/14. Age: 17 yrs. Amenities: gym."
house,sale,11787000.0,2251,2,2,12,18,13,unfurnished,0,Marathahalli,lift|security|garden|parking,2 BHK House for Sale in Marathahalli,"Beautiful 2 BHK house for sale in Marathahalli, Bangalore. Area: 2251 sqft. Unfurnished. Floor 12/18. Age: 13 yrs. Amenities: lift, security, garden, parking."
villa,sale,9247000.0,700,3,3,6,16,9,unfurnished,1,Indiranagar,parking|power backup,3 BHK Villa for Sale in Indiranagar,"Beautiful 3 BHK villa for sale in Indiranagar, Bangalore. Area: 700 sqft. Unfurnished. Floor 6/16. Age: 9 yrs. Amenities: parking, power backup."
villa,sale,28691000.0,3592,2,2,10,14,14,furnished,0,Sarjapur Road,garden,2 BHK Villa for Sale in Sarjapur Road,"Beautiful 2 BHK villa for sale in Sarjapur Road, Bangalore. Area: 3592 sqft. Furnished. Floor 10/14. Age: 14 yrs. Amenities: garden."
apartment,sale,41579000.0,3472,1,1,6,8,5,furnished,0,Koramangala,clubhouse|lift|security,1 BHK Apartment for Sale in Koramangala,"Beautiful 1 BHK apartment for sale in Koramangala, Bangalore. Area: 3472 sqft. Furnished. Floor 6/8. Age: 5 yrs. Amenities: clubhouse, lift, security."
apartment,sale,16899000.0,3510,4,4,14,16,17,unfurnished,1,Yelahanka,gym|parking|swimming pool|lift,4 BHK Apartment for Sale in Yelahanka,"Beautiful 4 BHK apartment for sale in Yelahanka, Bangalore. Area: 3510 sqft. Unfurnished. Floor 14/16. Age: 17 yrs. Amenities: gym, parking, swimming pool, lift."
plot,sale,13589000.0,3823,3,3,5,9,14,semi-furnished,2,Bannerghatta Road,lift|garden,3 BHK Plot for Sale in Bannerghatta Road,"Beautiful 3 BHK plot for sale in Bannerghatta Road, Bangalore. Area: 3823 sqft. Semi-Furnished. Floor 5/9. Age: 14 yrs. Amenities: lift, garden."
house,rent,14000.0,744,1,1,13,16,0,furnished,2,Bannerghatta Road,clubhouse|parking|security|power backup|swimming pool,1 BHK House for Rent in Bannerghatta Road,"Beautiful 1 BHK house for rent in Bannerghatta Road, Bangalore. Area: 744 sqft. Furnished. Floor 13/16. Age: 0 yrs. Amenities: clubhouse, parking, security, power backup, swimming pool."
house,rent,65000.0,3036,3,3,14,14,10,semi-furnished,0,Hebbal,security|power backup|gym|garden,3 BHK House for Rent in Hebbal,"Beautiful 3 BHK house for rent in Hebbal, Bangalore. Area: 3036 sqft. Semi-Furnished. Floor 14/14. Age: 10 yrs. Amenities: security, power backup, gym, garden."
house,sale,13629000.0,2024,2,2,4,18,0,semi-furnished,2,Bellandur,lift|swimming pool|power backup|clubhouse|gym,2 BHK House for Sale in Bellandur,"Beautiful 2 BHK house for sale in Bellandur, Bangalore. Area: 2024 sqft. Semi-Furnished. Floor 4/18. Age: 0 yrs. Amenities: lift, swimming pool, power backup, clubhouse, gym."
apartment,sale,19930000.0,3421,2,2,9,10,13,furnished,2,Sarjapur Road,parking|power backup|garden|gym|security,2 BHK Apartment for Sale in Sarjapur Road,"Beautiful 2 BHK apartment for sale in Sarjapur Road, Bangalore. Area: 3421 sqft. Furnished. Floor 9/10. Age: 13 yrs. Amenities: parking, power backup, garden, gym, security."
apartment,sale,21686000.0,3230,2,2,10,16,5,semi-furnished,1,Marathahalli,swimming pool|gym|security|power backup,2 BHK Apartment for Sale in Marathahalli,"Beautiful 2 BHK apartment for sale in Marathahalli, Bangalore. Area: 3230 sqft. Semi-Furnished. Floor 10/16. Age: 5 yrs. Amenities: swimming pool, gym, security, power backup."
apartment,rent,27000.0,1188,1,1,12,17,18,semi-furnished,1,BTM Layout,clubhouse|swimming pool|power backup|gym|parking,1 BHK Apartment for Rent in BTM Layout,"Beautiful 1 BHK apartment for rent in BTM Layout, Bangalore. Area: 1188 sqft. Semi-Furnished. Floor 12/17. Age: 18 yrs. Amenities: clubhouse, swimming pool, power backup, gym, parking."
apartment,rent,79000.0,3036,2,2,3,13,6,unfurnished,1,Rajajinagar,security|parking|garden|clubhouse|swimming pool,2 BHK Apartment for Rent in Rajajinagar,"Beautiful 2 BHK apartment for rent in Rajajinagar, Bangalore. Area: 3036 sqft. Unfurnished. Floor 3/13. Age: 6 yrs. Amenities: security, parking, garden, clubhouse, swimming pool."
apartment,rent,44000.0,2108,2,2,9,19,12,unfurnished,1,HSR Layout,power backup|garden|parking|lift|swimming pool,2 BHK Apartment for Rent in HSR Layout,"Beautiful 2 BHK apartment for rent in HSR Layout, Bangalore. Area: 2108 sqft. Unfurnished. Floor 9/19. Age: 12 yrs. Amenities: power backup, garden, parking, lift, swimming pool."
plot,sale,7571000.0,1716,2,2,3,6,6,semi-furnished,0,JP Nagar,power backup|garden,2 BHK Plot for Sale in JP Nagar,"Beautiful 2 BHK plot for sale in JP Nagar, Bangalore. Area: 1716 sqft. Semi-Furnished. Floor 3/6. Age: 6 yrs. Amenities: power backup, garden."
house,sale,12041000.0,1061,2,2,4,18,2,unfurnished,2,Indiranagar,parking|security,2 BHK House for Sale in Indiranagar,"Beautiful 2 BHK house for sale in Indiranagar, Bangalore. Area: 1061 sqft. Unfurnished. Floor 4/18. Age: 2 yrs. Amenities: parking, security."
apartment,sale,28463000.0,3084,2,2,6,14,16,unfurnished,2,Indiranagar,gym|power backup|lift|garden,2 BHK Apartment for Sale in Indiranagar,"Beautiful 2 BHK apartment for sale in Indiranagar, Bangalore. Area: 3084 sqft. Unfurnished. Floor 6/14. Age: 16 yrs. Amenities: gym, power backup, lift, garden."
apartment,sale,3822000.0,472,3,3,7,7,5,furnished,2,Banashankari,parking|lift|power backup|clubhouse,3 BHK Apartment for Sale in Banashankari,"Beautiful 3 BHK apartment for sale in Banashankari, Bangalore. Area: 472 sqft. Furnished. Floor 7/7. Age: 5 yrs. Amenities: parking, lift, power backup, clubhouse."
house,sale,14777000.0,2828,2,2,9,11,21,semi-furnished,1,Bannerghatta Road,power backup|security|garden|lift,2 BHK House for Sale in Bannerghatta Road,"Beautiful 2 BHK house for sale in Bannerghatta Road, Bangalore. Area: 2828 sqft. Semi-Furnished. Floor 9/11. Age: 21 yrs. Amenities: power backup, security, garden, lift."
apartment,rent,66000.0,3774,3,3,8,14,15,semi-furnished,1,Sarjapur Road,clubhouse,3 BHK Apartment for Rent in Sarjapur Road,"Beautiful 3 BHK apartment for rent in Sarjapur Road, Bangalore. Area: 3774 sqft. Semi-Furnished. Floor 8/14. Age: 15 yrs. Amenities: clubhouse."
apartment,rent,14000.0,763,4,4,0,19,5,semi-furnished,1,Vijayanagar,parking,4 BHK Apartment for Rent in Vijayanagar,"Beautiful 4 BHK apartment for rent in Vijayanagar, Bangalore. Area: 763 sqft. Semi-Furnished. Floor 0/19. Age: 5 yrs. Amenities: parking."
apartment,sale,33135000.0,3208,2,2,8,8,10,unfurnished,1,Malleswaram,lift|gym,2 BHK Apartment for Sale in Malleswaram,"Beautiful 2 BHK apartment for sale in Malleswaram, Bangalore. Area: 3208 sqft. Unfurnished. Floor 8/8. Age: 10 yrs. Amenities: lift, gym."
apartment,sale,16914000.0,3125,2,2,1,13,2,semi-furnished,1,Marathahalli,swimming pool|clubhouse|garden,2 BHK Apartment for Sale in Marathahalli,"Beautiful 2 BHK apartment for sale in Marathahalli, Bangalore. Area: 3125 sqft. Semi-Furnished. Floor 1/13. Age: 2 yrs. Amenities: swimming pool, clubhouse, garden."
apartment,rent,19000.0,665,3,3,8,9,24,furnished,1,Koramangala,garden,3 BHK Apartment for Rent in Koramangala,"Beautiful 3 BHK apartment for rent in Koramangala, Bangalore. Area: 665 sqft. Furnished. Floor 8/9. Age: 24 yrs. Amenities: garden."
plot,rent,83000.0,2929,3,3,7,11,1,furnished,2,Indiranagar,lift|swimming pool|parking|gym,3 BHK Plot for Rent in Indiranagar,"Beautiful 3 BHK plot for rent in Indiranagar, Bangalore. Area: 2929 sqft. Furnished. Floor 7/11. Age: 1 yrs. Amenities: lift, swimming pool, parking, gym."
apartment,sale,14605000.0,3110,3,3,2,6,18,semi-furnished,1,Electronic City,security,3 BHK Apartment for Sale in Electronic City,"Beautiful 3 BHK apartment for sale in Electronic City, Bangalore. Area: 3110 sqft. Semi-Furnished. Floor 2/6. Age: 18 yrs. Amenities: security."
apartment,sale,32585000.0,3965,3,3,2,8,15,furnished,2,Vijayanagar,parking,3 BHK Apartment for Sale in Vijayanagar,"Beautiful 3 BHK apartment for sale in Vijayanagar, Bangalore. Area: 3965 sqft. Furnished. Floor 2/8. Age: 15 yrs. Amenities: parking."
house,sale,13706000.0,2966,2,2,10,15,13,unfurnished,0,Marathahalli,security|gym|parking|power backup|swimming pool,2 BHK House for Sale in Marathahalli,"Beautiful 2 BHK house for sale in Marathahalli, Bangalore. Area: 2966 sqft. Unfurnished. Floor 10/15. Age: 13 yrs. Amenities: security, gym, parking, power backup, swimming pool."
apartment,sale,9065000.0,1300,2,2,0,12,20,semi-furnished,1,BTM Layout,clubhouse|parking|security|gym|power backup,2 BHK Apartment for Sale in BTM Layout,"Beautiful 2 BHK apartment for sale in BTM Layout, Bangalore. Area: 1300 sqft. Semi-Furnished. Floor 0/12. Age: 20 yrs. Amenities: clubhouse, parking, security, gym, power backup."
apartment,rent,39000.0,2957,1,1,3,4,19,semi-furnished,2,Yelahanka,parking,1 BHK Apartment for Rent in Yelahanka,"Beautiful 1 BHK apartment for rent in Yelahanka, Bangalore. Area: 2957 sqft. Semi-Furnished. Floor 3/4. Age: 19 yrs. Amenities: parking."
villa,rent,97000.0,2476,3,3,0,9,17,semi-furnished,0,Basavanagudi,security|garden|gym|clubhouse,3 BHK Villa for Rent in Basavanagudi,"Beautiful 3 BHK villa for rent in Basavanagudi, Bangalore. Area: 2476 sqft. Semi-Furnished. Floor 0/9. Age: 17 yrs. Amenities: security, garden, gym, clubhouse."
apartment,rent,59000.0,2548,2,2,7,19,7,furnished,2,Bellandur,swimming pool|power backup|lift,2 BHK Apartment for Rent in Bellandur,"Beautiful 2 BHK apartment for rent in Bellandur, Bangalore. Area: 2548 sqft. Furnished. Floor 7/19. Age: 7 yrs. Amenities: swimming pool, power backup, lift."
apartment,sale,3967000.0,798,2,2,2,8,18,unfurnished,2,Bannerghatta Road,gym|security,2 BHK Apartment for Sale in Bannerghatta Road,"Beautiful 2 BHK apartment for sale in Bannerghatta Road, Bangalore. Area: 798 sqft. Unfurnished. Floor 2/8. Age: 18 yrs. Amenities: gym, security."
apartment,rent,113000.0,3409,3,3,14,15,2,furnished,1,Basavanagudi,garden|security|parking|swimming pool,3 BHK Apartment for Rent in Basavanagudi,"Beautiful 3 BHK apartment for rent in Basavanagudi, Bangalore. Area: 3409 sqft. Furnished. Floor 14/15. Age: 2 yrs. Amenities: garden, security, parking, swimming pool."
house,sale,19388000.0,2821,4,4,12,16,15,semi-furnished,2,JP Nagar,security|clubhouse,4 BHK House for Sale in JP Nagar,"Beautiful 4 BHK house for sale in JP Nagar, Bangalore. Area: 2821 sqft. Semi-Furnished. Floor 12/16. Age: 15 yrs. Amenities: security, clubhouse."
plot,sale,30126000.0,3759,1,1,2,15,16,furnished,2,Malleswaram,garden|swimming pool,1 BHK Plot for Sale in Malleswaram,"Beautiful 1 BHK plot for sale in Malleswaram, Bangalore. Area: 3759 sqft. Furnished. Floor 2/15. Age: 16 yrs. Amenities: garden, swimming pool."
villa,sale,12192000.0,2159,2,2,10,15,21,unfurnished,0,Bannerghatta Road,power backup|parking|security|gym,2 BHK Villa for Sale in Bannerghatta Road,"Beautiful 2 BHK villa for sale in Bannerghatta Road, Bangalore. Area: 2159 sqft. Unfurnished. Floor 10/15. Age: 21 yrs. Amenities: power backup, parking, security, gym."
apartment,sale,9847000.0,860,3,3,5,15,4,furnished,0,Malleswaram,gym|security|lift,3 BHK Apartment for Sale in Malleswaram,"Beautiful 3 BHK apartment for sale in Malleswaram, Bangalore. Area: 860 sqft. Furnished. Floor 5/15. Age: 4 yrs. Amenities: gym, security, lift."
apartment,sale,17588000.0,2576,1,1,11,15,2,furnished,2,Marathahalli,power backup|security,1 BHK Apartment for Sale in Marathahalli,"Beautiful 1 BHK apartment for sale in Marathahalli, Bangalore. Area: 2576 sqft. Furnished. Floor 11/15. Age: 2 yrs. Amenities: power backup, security."
apartment,rent,90000.0,3045,3,3,9,18,21,furnished,1,Koramangala,lift,3 BHK Apartment for Rent in Koramangala,"Beautiful 3 BHK apartment for rent in Koramangala, Bangalore. Area: 3045 sqft. Furnished. Floor 9/18. Age: 21 yrs. Amenities: lift."
plot,sale,6088000.0,1443,2,2,9,16,21,unfurnished,1,Vijayanagar,gym|parking|security|swimming pool|power backup,2 BHK Plot for Sale in Vijayanagar,"Beautiful 2 BHK plot for sale in Vijayanagar, Bangalore. Area: 1443 sqft. Unfurnished. Floor 9/16. Age: 21 yrs. Amenities: gym, parking, security, swimming pool, power backup."
apartment,sale,7106000.0,925,2,2,2,6,15,semi-furnished,2,Bellandur,gym|garden|lift|parking,2 BHK Apartment for Sale in Bellandur,"Beautiful 2 BHK apartment for sale in Bellandur, Bangalore. Area: 925 sqft. Semi-Furnished. Floor 2/6. Age: 15 yrs. Amenities: gym, garden, lift, parking."
villa,sale,18910000.0,1499,3,3,13,14,5,furnished,2,Basavanagudi,clubhouse|gym|power backup|swimming pool,3 BHK Villa for Sale in Basavanagudi,"Beautiful 3 BHK villa for sale in Basavanagudi, Bangalore. Area: 1499 sqft. Furnished. Floor 13/14. Age: 5 yrs. Amenities: clubhouse, gym, power backup, swimming pool."
apartment,sale,20921000.0,1726,3,3,10,18,21,furnished,0,Malleswaram,lift,3 BHK Apartment for Sale in Malleswaram,"Beautiful 3 BHK apartment for sale in Malleswaram, Bangalore. Area: 1726 sqft. Furnished. Floor 10/18. Age: 21 yrs. Amenities: lift."
villa,rent,15000.0,899,2,2,12,13,17,unfurnished,0,Yelahanka,security|parking|lift,2 BHK Villa for Rent in Yelahanka,"Beautiful 2 BHK villa for rent in Yelahanka, Bangalore. Area: 899 sqft. Unfurnished. Floor 12/13. Age: 17 yrs. Amenities: security, parking, lift."
apartment,sale,13630000.0,1772,3,3,4,7,16,furnished,1,Vijayanagar,garden|gym|parking|power backup|lift,3 BHK Apartment for Sale in Vijayanagar,"Beautiful 3 BHK apartment for sale in Vijayanagar, Bangalore. Area: 1772 sqft. Furnished. Floor 4/7. Age: 16 yrs. Amenities: garden, gym, parking, power backup, lift."
house,sale,8703000.0,1085,1,1,11,19,19,furnished,0,Whitefield,lift|gym|garden|parking,1 BHK House for Sale in Whitefield,"Beautiful 1 BHK house for sale in Whitefield, Bangalore. Area: 1085 sqft. Furnished. Floor 11/19. Age: 19 yrs. Amenities: lift, gym, garden, parking."
apartment,rent,15000.0,604,2,2,5,16,8,furnished,2,JP Nagar,clubhouse|security|power backup|garden,2 BHK Apartment for Rent in JP Nagar,"Beautiful 2 BHK apartment for rent in JP Nagar, Bangalore. Area: 604 sqft. Furnished. Floor 5/16. Age: 8 yrs. Amenities: clubhouse, security, power backup, garden."
house,sale,7018000.0,1571,3,3,7,13,20,semi-furnished,1,Electronic City,parking|security|power backup|swimming pool,3 BHK House for Sale in Electronic City,"Beautiful 3 BHK house for sale in Electronic City, Bangalore. Area: 1571 sqft. Semi-Furnished. Floor 7/13. Age: 20 yrs. Amenities: parking, security, power backup, swimming pool."
apartment,sale,5238000.0,783,4,4,11,19,8,furnished,1,Marathahalli,lift|garden|clubhouse|parking|gym,4 BHK Apartment for Sale in Marathahalli,"Beautiful 4 BHK apartment for sale in Marathahalli, Bangalore. Area: 783 sqft. Furnished. Floor 11/19. Age: 8 yrs. Amenities: lift, garden, clubhouse, parking, gym."
apartment,sale,5006000.0,576,3,3,0,1,5,semi-furnished,1,Koramangala,lift|parking,3 BHK Apartment for Sale in Koramangala,"Beautiful 3 BHK apartment for sale in Koramangala, Bangalore. Area: 576 sqft. Semi-Furnished. Floor 0/1. Age: 5 yrs. Amenities: lift, parking."
apartment,sale,26829000.0,3557,3,3,11,18,14,semi-furnished,2,JP Nagar,power backup|clubhouse,3 BHK Apartment for Sale in JP Nagar,"Beautiful 3 BHK apartment for sale in JP Nagar, Bangalore. Area: 3557 sqft. Semi-Furnished. Floor 11/18. Age: 14 yrs. Amenities: power backup, clubhouse."
apartment,sale,11812000.0,2149,3,3,3,16,8,semi-furnished,1,Hennur,garden,3 BHK Apartment for Sale in Hennur,"Beautiful 3 BHK apartment for sale in Hennur, Bangalore. Area: 2149 sqft. Semi-Furnished. Floor 3/16. Age: 8 yrs. Amenities: garden."
apartment,sale,8065000.0,1850,2,2,2,6,18,unfurnished,1,Electronic City,swimming pool|clubhouse|parking|power backup,2 BHK Apartment for Sale in Electronic City,"Beautiful 2 BHK apartment for sale in Electronic City, Bangalore. Area: 1850 sqft. Unfurnished. Floor 2/6. Age: 18 yrs. Amenities: swimming pool, clubhouse, parking, power backup."
house,sale,27182000.0,3925,2,2,11,12,6,unfurnished,0,Rajajinagar,power backup|clubhouse|garden,2 BHK House for Sale in Rajajinagar,"Beautiful 2 BHK house for sale in Rajajinagar, Bangalore. Area: 3925 sqft. Unfurnished. Floor 11/12. Age: 6 yrs. Amenities: power backup, clubhouse, garden."
villa,rent,77000.0,3437,2,2,5,18,21,unfurnished,0,Marathahalli,swimming pool|security|power backup|lift,2 BHK Villa for Rent in Marathahalli,"Beautiful 2 BHK villa for rent in Marathahalli, Bangalore. Area: 3437 sqft. Unfurnished. Floor 5/18. Age: 21 yrs. Amenities: swimming pool, security, power backup, lift."
apartment,rent,19000.0,646,2,2,10,14,24,unfurnished,0,Koramangala,parking|lift|power backup|garden,2 BHK Apartment for Rent in Koramangala,"Beautiful 2 BHK apartment for rent in Koramangala, Bangalore. Area: 646 sqft. Unfurnished. Floor 10/14. Age: 24 yrs. Amenities: parking, lift, power backup, garden."
house,sale,33765000.0,3848,3,3,10,11,14,furnished,0,Hebbal,gym|power backup,3 BHK House for Sale in Hebbal,"Beautiful 3 BHK house for sale in Hebbal, Bangalore. Area: 3848 sqft. Furnished. Floor 10/11. Age: 14 yrs. Amenities: gym, power backup."
apartment,sale,8414000.0,1342,2,2,1,11,24,unfurnished,1,Whitefield,power backup,2 BHK Apartment for Sale in Whitefield,"Beautiful 2 BHK apartment for sale in Whitefield, Bangalore. Area: 1342 sqft. Unfurnished. Floor 1/11. Age: 24 yrs. Amenities: power backup."
apartment,sale,23963000.0,2358,1,1,5,13,19,furnished,2,Koramangala,power backup|lift|clubhouse,1 BHK Apartment for Sale in Koramangala,"Beautiful 1 BHK apartment for sale in Koramangala, Bangalore. Area: 2358 sqft. Furnished. Floor 5/13. Age: 19 yrs. Amenities: power backup, lift, clubhouse."
plot,rent,21000.0,2187,3,3,12,18,17,unfurnished,0,Hennur,gym|garden|security,3 BHK Plot for Rent in Hennur,"Beautiful 3 BHK plot for rent in Hennur, Bangalore. Area: 2187 sqft. Unfurnished. Floor 12/18. Age: 17 yrs. Amenities: gym, garden, security."
apartment,sale,11696000.0,1930,3,3,3,19,24,semi-furnished,1,Bannerghatta Road,security,3 BHK Apartment for Sale in Bannerghatta Road,"Beautiful 3 BHK apartment for sale in Bannerghatta Road, Bangalore. Area: 1930 sqft. Semi-Furnished. Floor 3/19. Age: 24 yrs. Amenities: security."
plot,rent,22000.0,1798,2,2,8,19,18,unfurnished,1,Bellandur,parking|swimming pool|lift|power backup|clubhouse,2 BHK Plot for Rent in Bellandur,"Beautiful 2 BHK plot for rent in Bellandur, Bangalore. Area: 1798 sqft. Unfurnished. Floor 8/19. Age: 18 yrs. Amenities: parking, swimming pool, lift, power backup, clubhouse."
apartment,sale,18371000.0,2669,2,2,8,11,3,semi-furnished,0,Banashankari,parking|security|power backup|swimming pool|garden,2 BHK Apartment for Sale in Banashankari,"Beautiful 2 BHK apartment for sale in Banashankari, Bangalore. Area: 2669 sqft. Semi-Furnished. Floor 8/11. Age: 3 yrs. Amenities: parking, security, power backup, swimming pool, garden."
apartment,rent,43000.0,1060,3,3,4,19,19,furnished,2,Indiranagar,parking|swimming pool|security|clubhouse,3 BHK Apartment for Rent in Indiranagar,"Beautiful 3 BHK apartment for rent in Indiranagar, Bangalore. Area: 1060 sqft. Furnished. Floor 4/19. Age: 19 yrs. Amenities: parking, swimming pool, security, clubhouse."
house,sale,36460000.0,3902,2,2,7,18,21,semi-furnished,2,Koramangala,clubhouse,2 BHK House for Sale in Koramangala,"Beautiful 2 BHK house for sale in Koramangala, Bangalore. Area: 3902 sqft. Semi-Furnished. Floor 7/18. Age: 21 yrs. Amenities: clubhouse."
apartment,sale,12697000.0,1829,1,1,11,13,21,semi-furnished,1,Vijayanagar,security|parking|garden,1 BHK Apartment for Sale in Vijayanagar,"Beautiful 1 BHK apartment for sale in Vijayanagar, Bangalore. Area: 1829 sqft. Semi-Furnished. Floor 11/13. Age: 21 yrs. Amenities: security, parking, garden."
apartment,sale,9723000.0,2044,2,2,0,2,7,semi-furnished,2,Bannerghatta Road,parking|lift|power backup|swimming pool|clubhouse,2 BHK Apartment for Sale in Bannerghatta Road,"Beautiful 2 BHK apartment for sale in Bannerghatta Road, Bangalore. Area: 2044 sqft. Semi-Furnished. Floor 0/2. Age: 7 yrs. Amenities: parking, lift, power backup, swimming pool, clubhouse."
apartment,sale,4080000.0,740,2,2,4,4,9,unfurnished,1,Bannerghatta Road,swimming pool,2 BHK Apartment for Sale in Bannerghatta Road,"Beautiful 2 BHK apartment for sale in Bannerghatta Road, Bangalore. Area: 740 sqft. Unfurnished. Floor 4/4. Age: 9 yrs. Amenities: swimming pool."
apartment,sale,10117000.0,1306,1,1,12,18,13,furnished,0,Hebbal,lift|swimming pool|power backup|gym,1 BHK Apartment for Sale in Hebbal,"Beautiful 1 BHK apartment for sale in Hebbal, Bangalore. Area: 1306 sqft. Furnished. Floor 12/18. Age: 13 yrs. Amenities: lift, swimming pool, power backup, gym."
plot,rent,11000.0,573,3,3,6,19,12,unfurnished,2,Jayanagar,parking,3 BHK Plot for Rent in Jayanagar,"Beautiful 3 BHK plot for rent in Jayanagar, Bangalore. Area: 573 sqft. Unfurnished. Floor 6/19. Age: 12 yrs. Amenities: parking."
apartment,sale,14233000.0,1536,2,2,0,11,18,unfurnished,0,Malleswaram,security|clubhouse,2 BHK Apartment for Sale in Malleswaram,"Beautiful 2 BHK apartment for sale in Malleswaram, Bangalore. Area: 1536 sqft. Unfurnished. Floor 0/11. Age: 18 yrs. Amenities: security, clubhouse."
villa,rent,57000.0,1963,3,3,2,7,20,semi-furnished,0,Banashankari,security|parking|power backup,3 BHK Villa for Rent in Banashankari,"Beautiful 3 BHK villa for rent in Banashankari, Bangalore. Area: 1963 sqft. Semi-Furnished. Floor 2/7. Age: 20 yrs. Amenities: security, parking, power backup."
apartment,sale,6496000.0,973,4,4,0,5,20,semi-furnished,2,Whitefield,lift|power backup,4 BHK Apartment for Sale in Whitefield,"Beautiful 4 BHK apartment for sale in Whitefield, Bangalore. Area: 973 sqft. Semi-Furnished. Floor 0/5. Age: 20 yrs. Amenities: lift, power backup."
house,rent,48000.0,3294,3,3,8,14,7,unfurnished,1,Sarjapur Road,garden|swimming pool|parking,3 BHK House for Rent in Sarjapur Road,"Beautiful 3 BHK house for rent in Sarjapur Road, Bangalore. Area: 3294 sqft. Unfurnished. Floor 8/14. Age: 7 yrs. Amenities: garden, swimming pool, parking."
villa,sale,20245000.0,3006,3,3,3,12,17,unfurnished,2,Marathahalli,power backup|security|garden,3 BHK Villa for Sale in Marathahalli,"Beautiful 3 BHK villa for sale in Marathahalli, Bangalore. Area: 3006 sqft. Unfurnished. Floor 3/12. Age: 17 yrs. Amenities: power backup, security, garden."
apartment,sale,12702000.0,2048,1,1,12,13,4,semi-furnished,2,Hennur,gym|clubhouse|power backup,1 BHK Apartment for Sale in Hennur,"Beautiful 1 BHK apartment for sale in Hennur, Bangalore. Area: 2048 sqft. Semi-Furnished. Floor 12/13. Age: 4 yrs. Amenities: gym, clubhouse, power backup."
apartment,sale,5177000.0,644,1,1,13,14,4,semi-furnished,0,JP Nagar,gym|power backup|lift|clubhouse|parking,1 BHK Apartment for Sale in JP Nagar,"Beautiful 1 BHK apartment for sale in JP Nagar, Bangalore. Area: 644 sqft. Semi-Furnished. Floor 13/14. Age: 4 yrs. Amenities: gym, power backup, lift, clubhouse, parking."
